rank,name,downloads,cumulative_downloads,cumulative_share_pct
362,rufus-scheduler,140972965,154793429654,58.7165
363,carrierwave,140945919,154934375573,58.77
364,bindata,140893251,155075268824,58.8235
365,ruby_parser,140778038,155216046862,58.8769
366,nenv,140647688,155356694550,58.9302
367,notiffany,140639777,155497334327,58.9836
368,unicode_utils,139441880,155636776207,59.0364
369,slack-notifier,139435781,155776211988,59.0893
370,rails-i18n,139039988,155915251976,59.1421
371,shellany,139022664,156054274640,59.1948
372,faraday-http-cache,138867641,156193142281,59.2475
373,cocoapods,138370087,156331512368,59.3
374,jaro_winkler,137638100,156469150468,59.3522
375,rotp,137530525,156606680993,59.4044
376,aws-sdk-route53,137511734,156744192727,59.4565
377,bootboot,137456162,156881648889,59.5087
378,version_gem,137295209,157018944098,59.5607
379,liquid,137087717,157156031815,59.6127
380,active_model_serializers,136475792,157292507607,59.6645
381,dry-container,136353480,157428861087,59.7162
382,sanitize,136020883,157564881970,59.7678
383,emoji_regex,135664826,157700546796,59.8193
384,redis-store,135632725,157836179521,59.8707
385,ruby-saml,135326142,157971505663,59.9221
386,dogstatsd-ruby,135136992,158106642655,59.9733
387,spring-commands-rspec,134421975,158241064630,60.0243
388,cocoapods-core,134079383,158375144013,60.0752
389,guard-compat,133901669,158509045682,60.126
390,chronic,133816216,158642861898,60.1767
391,optimist,133513968,158776375866,60.2274
392,dry-initializer,133266210,158909642076,60.2779
393,coercible,133210480,159042852556,60.3284
394,celluloid-io,132844104,159175696660,60.3788
395,twilio-ruby,132718598,159308415258,60.4292
396,naturally,132608954,159441024212,60.4795
397,useragent,132500179,159573524391,60.5297
398,security,132311931,159705836322,60.5799
399,terminal-notifier,132240502,159838076824,60.6301
400,redcarpet,132235149,159970311973,60.6803
401,money,131943841,160102255814,60.7303
402,foreman,131797828,160234053642,60.7803
403,simctl,131346760,160365400402,60.8301
404,equalizer,131102941,160496503343,60.8798
405,pp,131012006,160627515349,60.9295
406,nori,131010843,160758526192,60.9792
407,database_cleaner-active_record,130833275,160889359467,61.0289
408,countries,130269882,161019629349,61.0783
409,virtus,130058206,161149687555,61.1276
410,aws-sdk-ses,129879364,161279566919,61.1769
411,guard-rspec,128676589,161408243508,61.2257
412,lint_roller,128585445,161536828953,61.2745
413,dalli,128525995,161665354948,61.3232
414,ed25519,128302443,161793657391,61.3719
415,ruby-vips,128288515,161921945906,61.4206
416,axiom-types,128151234,162050097140,61.4692
417,redis-rack,127403690,162177500830,61.5175
418,aws-sdk-firehose,127304152,162304804982,61.5658
419,rqrcode,127155990,162431960972,61.614
420,database_cleaner-core,126925338,162558886310,61.6622
421,gyoku,126801835,162685688145,61.7103
422,premailer,125880917,162811569062,61.758
423,aws-sdk-elasticloadbalancing,125818294,162937387356,61.8057
424,redis-actionpack,125592628,163062979984,61.8534
425,rspec-retry,124871744,163187851728,61.9007
426,xcpretty-travis-formatter,124569636,163312421364,61.948
427,kgio,124364435,163436785799,61.9952
428,danger,124307534,163561093333,62.0423
429,raindrops,124063553,163685156886,62.0894
430,tins,123720033,163808876919,62.1363
431,ruby-rc4,123468393,163932345312,62.1831
432,snaky_hash,122936793,164055282105,62.2298
433,tzinfo-data,122903101,164178185206,62.2764
434,image_processing,122864376,164301049582,62.323
435,celluloid-supervision,122436584,164423486166,62.3694
436,celluloid-pool,122232623,164545718789,62.4158
437,celluloid-essentials,122212001,164667930790,62.4622
438,celluloid-fsm,122203991,164790134781,62.5085
439,celluloid-extras,122201467,164912336248,62.5549
440,omniauth-google-oauth2,121968315,165034304563,62.6011
441,statsd-ruby,121906845,165156211408,62.6474
442,encryptor,121890339,165278101747,62.6936
443,word_wrap,121862776,165399964523,62.7398
444,debase-ruby_core_source,121670636,165521635159,62.786
445,faraday_middleware-aws-sigv4,121221055,165642856214,62.832
446,deep_merge,121219001,165764075215,62.878
447,get_process_mem,120896834,165884972049,62.9238
448,dry-schema,120256851,166005228900,62.9694
449,aws-sdk-rds,120083591,166125312491,63.015
450,declarative-option,120041420,166245353911,63.0605
451,debug,120040842,166365394753,63.106
452,stripe,119739284,166485134037,63.1515
453,aws-sdk-cloudfront,119411805,166604545842,63.1968
454,unicorn,118804315,166723350157,63.2418
455,bson,117847417,166841197574,63.2865
456,optparse,117817698,166959015272,63.3312
457,letter_opener,117801373,167076816645,63.3759
458,sentry-rails,117706519,167194523164,63.4206
459,dry-validation,117463313,167311986477,63.4651
460,ransack,116214444,167428200921,63.5092
461,artifactory,115903593,167544104514,63.5532
462,google-apis-playcustomapp_v1,115602731,167659707245,63.597
463,cork,115372734,167775079979,63.6408
464,tty-color,115259971,167890339950,63.6845
465,rubygems-bundler,115200886,168005540836,63.7282
466,claide-plugins,115012183,168120553019,63.7718
467,wisper,114908520,168235461539,63.8154
468,pastel,114783440,168350244979,63.8589
469,gitlab,114534328,168464779307,63.9024
470,eye,114478505,168579257812,63.9458
471,aws-sdk-states,114151163,168693408975,63.9891
472,roo,113397456,168806806431,64.0321
473,molinillo,113076984,168919883415,64.075
474,aws-sdk-cloudwatchevents,112919770,169032803185,64.1179
475,aws-sdk-codecommit,112719338,169145522523,64.1606
476,doorkeeper,112688272,169258210795,64.2034
477,dogapi,112574861,169370785656,64.2461
478,pdf-reader,112159332,169482944988,64.2886
479,sentry-raven,112105125,169595050113,64.3311
