registry,package,downloads,latest_version,version_count,stable_version_count,first_release,latest_release,github_url,registry_url,doc_site_url,readme_file,has_readme,docs_folder_count,docs_folder_files,error
rubygems,swearjar,1915524.0,1.4.0,16,16,2010-01-13,2020-07-03,https://github.com/joshbuddy/swearjar,https://rubygems.org/gems/swearjar,https://github.com/joshbuddy/swearjar,README.md,Yes,0,,
rubygems,administrate-field-belongs_to_search,1903987.0,0.10.0,12,12,2017-02-02,2024-11-26,https://github.com/fishbrain/administrate-field-belongs_to_search,https://rubygems.org/gems/administrate-field-belongs_to_search,https://github.com/fishbrain/administrate-field-belongs_to_search,README.md,Yes,0,,
rubygems,daemons-rails,1902272.0,1.2.1,10,9,2011-11-01,2013-08-23,https://github.com/mirasrael/daemons-rails,https://rubygems.org/gems/daemons-rails,https://rubydoc.info/gems/daemons-rails,README.markdown,Yes,0,,
rubygems,gravatar_image_tag,1893370.0,1.2.0,11,9,2010-01-04,2013-11-11,https://github.com/mdeering/gravatar_image_tag,https://rubygems.org/gems/gravatar_image_tag,https://github.com/mdeering/gravatar_image_tag,README.textile,Yes,0,,
rubygems,audits1984,1881475.0,0.1.7,8,8,2021-08-19,2024-07-17,https://github.com/basecamp/audits1984,https://rubygems.org/gems/audits1984,https://rubydoc.info/gems/audits1984,README.md,Yes,0,,
rubygems,hanami-router,1874055.0,3.0.0,56,23,2016-01-20,2026-07-01,https://github.com/hanami/hanami-router,https://rubygems.org/gems/hanami-router,https://hanamirb.org,README.md,Yes,0,,
rubygems,click_house-client,1859648.0,0.12.0,29,29,2023-12-15,2026-08-04,,https://rubygems.org/gems/click_house-client,https://www.rubydoc.info/gems/click_house-client/0.12.0,README.md,Yes,0,,
rubygems,wdm,1858848.0,0.2.0,7,7,2012-07-23,2024-08-04,https://github.com/maher4ever/wdm,https://rubygems.org/gems/wdm,https://github.com/maher4ever/wdm,README.md,Yes,0,,
rubygems,switchman,1849482.0,4.3.5,278,276,2013-12-17,2026-09-01,https://github.com/instructure/switchman,https://rubygems.org/gems/switchman,http://www.instructure.com/,,No,0,,
rubygems,yard-activerecord,1844519.0,0.0.17,12,12,2013-02-05,2024-10-14,https://github.com/theodorton/yard-activerecord,https://rubygems.org/gems/yard-activerecord,https://github.com/theodorton/yard-activerecord,README.md,Yes,0,,
rubygems,bourne,1842162.0,1.6.0,11,11,2010-06-09,2014-11-20,https://github.com/thoughtbot/bourne,https://rubygems.org/gems/bourne,http://rdoc.info/projects/thoughtbot/bourne,README.md,Yes,0,,
rubygems,requestjs-rails,1834988.0,0.0.14,9,9,2021-08-11,2025-12-11,https://github.com/marcelolx/requestjs-rails,https://rubygems.org/gems/requestjs-rails,https://github.com/marcelolx/requestjs-rails,README.md,Yes,0,,
rubygems,prawn-emoji,1810083.0,6.0.0,20,19,2016-01-04,2025-03-29,https://github.com/hidakatsuya/prawn-emoji,https://rubygems.org/gems/prawn-emoji,https://github.com/hidakatsuya/prawn-emoji,README.md,Yes,0,,
rubygems,yabeda-activerecord,1808421.0,0.1.2,3,3,2022-05-27,2025-10-15,https://github.com/yabeda-rb/yabeda-activerecord,https://rubygems.org/gems/yabeda-activerecord,https://github.com/yabeda-rb/yabeda-activerecord,README.md,Yes,0,,
rubygems,newrelic-sidekiq-metrics,1800899.0,1.6.2,22,21,2019-11-13,2023-10-30,https://github.com/renofi/newrelic-sidekiq-metrics,https://rubygems.org/gems/newrelic-sidekiq-metrics,https://github.com/renofi/newrelic-sidekiq-metrics,README.md,Yes,0,,
rubygems,leaflet-rails,1785427.0,1.9.5,47,36,2012-08-23,2024-07-15,https://github.com/axyjo/leaflet-rails,https://rubygems.org/gems/leaflet-rails,https://rubygems.org/gems/leaflet-rails,,No,0,,
rubygems,rdf-normalize,1771514.0,0.7.0,12,11,2015-05-20,2023-09-01,https://github.com/ruby-rdf/rdf-normalize,https://rubygems.org/gems/rdf-normalize,https://ruby-rdf.github.io/rdf-normalize,README.md,Yes,0,,
rubygems,front_matter_parser,1766404.0,1.0.1,10,10,2014-03-17,2021-07-20,https://github.com/waiting-for-dev/front_matter_parser,https://rubygems.org/gems/front_matter_parser,https://www.rubydoc.info/gems/front_matter_parser/1.0.1,README.md,Yes,0,,
rubygems,zonebie,1764669.0,0.6.1,6,6,2012-03-05,2016-04-13,https://github.com/alindeman/zonebie,https://rubygems.org/gems/zonebie,https://github.com/alindeman/zonebie,README.md,Yes,0,,
rubygems,dm-sqlite-adapter,1763236.0,1.2.0,13,5,2010-06-08,2011-10-13,https://github.com/datamapper/dm-sqlite-adapter,https://rubygems.org/gems/dm-sqlite-adapter,https://rubydoc.info/gems/dm-sqlite-adapter,,No,0,,
rubygems,compare-xml,1757757.0,1.0.0,8,8,2016-04-05,2026-06-30,https://github.com/vkononov/compare-xml,https://rubygems.org/gems/compare-xml,https://rubydoc.info/gems/compare-xml,README.md,Yes,0,,
rubygems,llhttp,1756492.0,0.6.2,11,11,2020-10-11,2026-06-28,https://github.com/bryanp/llhttp,https://rubygems.org/gems/llhttp,https://www.rubydoc.info/gems/llhttp/0.6.2,README.md,Yes,0,,
rubygems,acts_as_api,1756052.0,1.0.1,27,27,2010-06-30,2017-08-04,https://github.com/fabrik42/acts_as_api,https://rubygems.org/gems/acts_as_api,https://github.com/fabrik42/acts_as_api,README.md,Yes,4,docs/docco.css; docs/index.html; docs/index.rb; docs/layout.mustache,
