package,version,released,platform,prerelease
aws-sdk-core,3.216.0,2025-01-15,ruby,False
aws-sdk-core,3.215.1,2025-01-14,ruby,False
aws-sdk-core,3.215.0,2025-01-10,ruby,False
aws-sdk-core,3.214.1,2024-12-28,ruby,False
aws-sdk-core,3.214.0,2024-11-25,ruby,False
aws-sdk-core,3.213.0,2024-11-14,ruby,False
aws-sdk-core,3.212.0,2024-11-06,ruby,False
aws-sdk-core,3.211.0,2024-10-21,ruby,False
aws-sdk-core,3.210.0,2024-10-18,ruby,False
aws-sdk-core,3.209.1,2024-09-25,ruby,False
aws-sdk-core,3.209.0,2024-09-24,ruby,False
aws-sdk-core,3.208.0,2024-09-23,ruby,False
aws-sdk-core,3.207.0,2024-09-20,ruby,False
aws-sdk-core,3.206.0,2024-09-17,ruby,False
aws-sdk-core,3.205.0,2024-09-11,ruby,False
aws-sdk-core,3.204.0,2024-09-10,ruby,False
aws-sdk-core,3.203.0,2024-09-03,ruby,False
aws-sdk-core,3.202.2,2024-08-30,ruby,False
aws-sdk-core,3.202.1,2024-08-29,ruby,False
aws-sdk-core,3.202.0,2024-08-27,ruby,False
aws-sdk-core,3.201.5,2024-08-15,ruby,False
aws-sdk-core,3.201.4,2024-08-08,ruby,False
aws-sdk-core,3.201.3,2024-07-23,ruby,False
aws-sdk-core,3.201.2,2024-07-18,ruby,False
aws-sdk-core,3.201.1,2024-07-05,ruby,False
aws-sdk-core,3.201.0,2024-07-02,ruby,False
aws-sdk-core,3.200.0,2024-06-28,ruby,False
aws-sdk-core,3.199.0,2024-06-25,ruby,False
aws-sdk-core,3.198.0,2024-06-24,ruby,False
aws-sdk-core,3.197.2,2024-06-20,ruby,False
aws-sdk-core,3.197.1,2024-06-19,ruby,False
aws-sdk-core,3.197.0,2024-06-05,ruby,False
aws-sdk-core,3.196.1,2024-05-14,ruby,False
aws-sdk-core,3.196.0,2024-05-13,ruby,False
aws-sdk-core,3.195.0,2024-05-10,ruby,False
aws-sdk-core,3.194.2,2024-05-07,ruby,False
aws-sdk-core,3.194.1,2024-05-03,ruby,False
aws-sdk-core,3.194.0,2024-04-30,ruby,False
aws-sdk-core,3.193.0,2024-04-25,ruby,False
aws-sdk-core,3.192.1,2024-04-18,ruby,False
