gem,version,downloads,doc_coverage_pct,methods_documented,methods_total,has_readme,readme,readme_bytes,has_changelog,has_license,doc_dir_files,doc_files,link_docs,docs_host,doc_is_autogen,link_home,link_changelog,link_wiki,link_code,link_bugs,github_url
rotp,6.3.0,137530525,32.7,16.0,49.0,True,README.md,7429.0,1.0,1.0,0.0,2.0,https://www.rubydoc.info/gems/rotp/6.3.0,rubydoc.info,True,https://github.com/mdp/rotp,,,,,https://github.com/mdp/rotp
aws-sdk-route53,1.137.0,137511734,64.2,149.0,232.0,False,,0.0,1.0,1.0,0.0,2.0,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-route53/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-route53,,https://github.com/aws/aws-sdk-ruby
bootboot,0.2.2,137456162,4.8,1.0,21.0,True,README.md,7846.0,0.0,1.0,0.0,2.0,,,False,https://github.com/shopify/bootboot,https://github.com/Shopify/bootboot/blob/master/CHANGELOG.md,,,,https://github.com/shopify/bootboot
version_gem,1.1.15,137295209,70.6,12.0,17.0,True,README.md,49392.0,1.0,1.0,0.0,3.0,https://www.rubydoc.info/gems/version_gem/1.1.15,rubydoc.info,True,https://version-gem.galtzo.com,https://github.com/ruby-oauth/version_gem/blob/v1.1.15/CHANGELOG.md,https://github.com/ruby-oauth/version_gem/wiki,https://github.com/ruby-oauth/version_gem/tree/v1.1.15,https://github.com/ruby-oauth/version_gem/issues,https://github.com/ruby-oauth/version_gem
liquid,5.13.0,137087717,24.5,128.0,522.0,True,README.md,7783.0,1.0,1.0,0.0,2.0,https://www.rubydoc.info/gems/liquid/5.13.0,rubydoc.info,True,https://shopify.github.io/liquid/,,,https://github.com/Shopify/liquid,,https://github.com/shopify/liquid
active_model_serializers,0.10.16,136475792,39.9,114.0,286.0,True,README.md,12674.0,1.0,0.0,0.0,2.0,http://rubydoc.info/gems/active_model_serializers,rubydoc.info,True,https://github.com/rails-api/active_model_serializers,,,http://github.com/rails-api/active_model_serializers,http://github.com/rails-api/active_model_serializers/issues,https://github.com/rails-api/active_model_serializers
dry-container,0.11.0,136353480,67.3,37.0,55.0,True,README.md,1246.0,1.0,1.0,0.0,2.0,,,False,https://dry-rb.org/gems/dry-container,https://github.com/dry-rb/dry-container/blob/master/CHANGELOG.md,,https://github.com/dry-rb/dry-container,https://github.com/dry-rb/dry-container/issues,https://github.com/dry-rb/dry-container
sanitize,7.0.0,136020883,72.7,24.0,33.0,True,README.md,20794.0,1.0,1.0,0.0,2.0,https://rubydoc.info/github/rgrove/sanitize,rubydoc.info,True,https://github.com/rgrove/sanitize/,https://github.com/rgrove/sanitize/blob/main/CHANGELOG.md,,,,https://github.com/rgrove/sanitize
emoji_regex,15.0.0,135664826,,0.0,0.0,True,README.md,3391.0,0.0,1.0,0.0,2.0,https://www.rubydoc.info/gems/emoji_regex/15.0.0,rubydoc.info,True,https://github.com/ticky/ruby-emoji-regex,,,,,https://github.com/ticky/ruby-emoji-regex
redis-store,1.12.0,135632725,0.0,0.0,94.0,True,README.md,1883.0,1.0,0.0,0.0,2.0,,,False,http://redis-store.org/redis-store,https://github.com/redis-store/redis-store/releases,,https://github.com/redis-store/redis-store,https://github.com/redis-store/redis-store/issues,https://github.com/jodosha/redis-store
