package,version,bytes,size_mb,version_count,stable_versions,all_versions_bytes_est,all_versions_gb_est
compass,1.0.3,378368,0.378,96,28,36323328,0.0363
rubydex,0.4.1,378368,0.378,124,79,46917632,0.0469
axlsx,2.0.1,373760,0.374,42,39,15697920,0.0157
spreadsheet,1.3.5,370688,0.371,96,96,35586048,0.0356
activerecord-jdbc-adapter,72.1,364032,0.364,108,99,39315456,0.0393
chunky_png,1.4.0,363008,0.363,67,63,24321536,0.0243
mittens,0.3.4,362496,0.362,8,8,2899968,0.0029
creek,2.6.3,359936,0.36,24,24,8638464,0.0086
tins,1.56.0,358912,0.359,138,138,49529856,0.0495
prawn-svg,0.40.3,355328,0.355,64,64,22740992,0.0227
windows_error,0.1.6,354304,0.354,9,9,3188736,0.0032
appsignal,4.10.1,354304,0.354,830,558,294072320,0.2941
concurrent-ruby,1.3.8,350720,0.351,138,77,48399360,0.0484
aws-sdk-ecs,1.245.0,345600,0.346,260,246,89856000,0.0899
aws-sdk-ssm,1.220.0,336896,0.337,235,220,79170560,0.0792
fog-softlayer,1.1.4,335872,0.336,61,56,20488192,0.0205
jekyll-theme-minimal,0.2.0,333824,0.334,7,7,2336768,0.0023
caxlsx,4.5.0,333312,0.333,20,20,6666240,0.0067
ruby-openid,2.9.2,331776,0.332,29,29,9621504,0.0096
scout_apm,6.3.0,331264,0.331,267,189,88447488,0.0884
watir,7.3.0,328192,0.328,126,85,41352192,0.0414
openproject-octicons,19.37.0,328192,0.328,61,61,20019712,0.02
dependabot-nuget,0.395.0,327680,0.328,1111,1110,364052480,0.3641
google-protobuf,4.36.1,327680,0.328,1744,1170,571473920,0.5715
flipper-ui,1.4.2,327680,0.328,100,71,32768000,0.0328
openproject-octicons_helper,19.37.0,326656,0.327,59,59,19272704,0.0193
aws-sdk-iot,1.173.0,323584,0.324,185,174,59863040,0.0599
aws-sdk-mediaconvert,1.192.0,323584,0.324,193,193,62451712,0.0625
fog-vsphere,3.7.3,320512,0.321,73,73,23397376,0.0234
rice,4.12.0,313344,0.313,56,55,17547264,0.0175
test-prof,1.6.3,309760,0.31,92,72,28497920,0.0285
paperclip,6.1.0,309248,0.309,90,88,27832320,0.0278
cucumber-html-formatter,24.1.1,306688,0.307,61,61,18707968,0.0187
devise-security,0.18.0,305664,0.306,13,12,3973632,0.004
sassc,2.4.0,304640,0.305,72,55,21934080,0.0219
sidekiq,8.1.7,302592,0.303,242,232,73227264,0.0732
cocoapods,1.17.0,299008,0.299,231,144,69070848,0.0691
tzinfo-data,1.2026.3,296448,0.296,78,78,23122944,0.0231
i18n_data,1.1.0,295936,0.296,32,32,9469952,0.0095
sdoc,2.6.5,293376,0.293,57,51,16722432,0.0167
leaflet-rails,1.9.5,291840,0.292,47,36,13716480,0.0137
aws-sdk-cognitoidentityprovider,1.151.0,289792,0.29,166,152,48105472,0.0481
braintree,4.40.0,288768,0.289,180,180,51978240,0.052
aws-sdk-gamelift,1.134.0,286208,0.286,149,135,42644992,0.0426
asciidoctor,2.0.26,284672,0.285,55,52,15656960,0.0157
mini_suffix,0.3.3,283136,0.283,5,5,1415680,0.0014
metainspector,5.17.2,279552,0.28,120,116,33546240,0.0335
pghero,4.0.1,279040,0.279,91,91,25392640,0.0254
libxml-ruby,6.0.0,277504,0.278,133,133,36908032,0.0369
bootstrap-sass,3.4.1,276992,0.277,59,56,16342528,0.0163
skylight,7.1.1,275968,0.276,199,129,54917632,0.0549
solargraph,0.60.4,275968,0.276,216,214,59609088,0.0596
activesupport,8.1.3,269312,0.269,505,329,136002560,0.136
honeybadger,6.9.1,268288,0.268,246,209,65998848,0.066
octicons,19.36.0,267776,0.268,908,130,243140608,0.2431
rbvmomi,3.0.0,267264,0.267,55,53,14699520,0.0147
rmagick,7.1.4,267264,0.267,121,118,32338944,0.0323
shrine,3.9.0,267264,0.267,59,54,15768576,0.0158
exifr,1.5.1,265216,0.265,51,51,13526016,0.0135
dnsruby,1.74.0,265216,0.265,58,58,15382528,0.0154
puma,8.0.2,265216,0.265,360,341,95477760,0.0955
aws-sdk-configservice,1.156.0,264704,0.265,171,156,45264384,0.0453
aws-sdk-databasemigrationservice,1.149.0,263168,0.263,163,150,42896384,0.0429
activeadmin,3.5.2,263168,0.263,100,69,26316800,0.0263
terser,1.2.8,262144,0.262,33,33,8650752,0.0087
actionpack,8.1.3,261632,0.262,518,344,135525376,0.1355
paypal-checkout-sdk,1.0.6,256512,0.257,6,6,1539072,0.0015
aws-sdk-iam,1.152.0,254464,0.254,167,154,42495488,0.0425
coverband,6.2.2,253440,0.253,153,84,38776320,0.0388
slather,2.8.5,252416,0.252,63,63,15902208,0.0159
aws-sdk-cloudfront,1.152.0,249344,0.249,172,160,42887168,0.0429
administrate-field-active_storage,1.0.6,247808,0.248,32,32,7929856,0.0079
eventmachine,1.2.7,247296,0.247,124,89,30664704,0.0307
elasticsearch-api,9.5.0,247296,0.247,168,149,41545728,0.0415
sendgrid-ruby,6.7.0,246272,0.246,67,66,16500224,0.0165
aws-sdk-dynamodb,1.172.0,245248,0.245,189,176,46351872,0.0464
pdf-reader,2.16.0,244736,0.245,65,60,15907840,0.0159
aws-sdk-redshift,1.166.0,236032,0.236,179,168,42249728,0.0422
graphlient,0.9.0,236032,0.236,22,22,5192704,0.0052
image_optim,0.32.0,235520,0.236,69,69,16250880,0.0163
ratatui_ruby,1.5.0,235008,0.235,48,45,11280384,0.0113
RedCloth,4.3.4,234496,0.234,67,58,15711232,0.0157
aws-sdk-lightsail,1.135.0,234496,0.234,147,136,34470912,0.0345
webpacker,5.4.4,234496,0.234,78,51,18290688,0.0183
fog-openstack,1.1.5,233472,0.233,66,65,15409152,0.0154
aws-sdk-lexmodelsv2,1.95.0,232960,0.233,97,97,22597120,0.0226
numo-narray-alt,0.11.2,230912,0.231,23,23,5310976,0.0053
fog-rackspace,0.1.6,230400,0.23,7,7,1612800,0.0016
prawn,2.5.0,230400,0.23,42,39,9676800,0.0097
aws-sdk-iotsitewise,1.108.0,227328,0.227,108,108,24551424,0.0246
rbpdf,1.21.4,227328,0.227,24,24,5455872,0.0055
unicorn,6.1.0,227328,0.227,134,108,30461952,0.0305
pg,1.6.3,225280,0.225,317,229,71413760,0.0714
algoliasearch,1.27.5,224768,0.225,92,92,20678656,0.0207
httpx,1.8.3,224768,0.225,141,141,31692288,0.0317
aws-sdk-cloudformation,1.157.0,223744,0.224,172,159,38483968,0.0385
em-http-request,1.1.7,221696,0.222,32,28,7094272,0.0071
nokogumbo,2.0.5,221696,0.222,51,50,11306496,0.0113
