gem,versions_counted,first_version,last_version,functions_first,functions_last,functions_ruby_last,functions_native_last,functions_public_last,functions_private_last,functions_protected_last,functions_added_total,functions_removed_total,max_abs_drift,rb_files_last,native_files_last,native_languages,lines_code_last,gem_bytes_last,parse_errors_last,net_change
jsonb_accessor,1,1.4.2,1.4.2,25.0,25.0,25.0,0.0,24.0,1.0,0.0,25.0,0.0,0.0,9.0,0.0,,393.0,20480.0,0.0,0.0
jsonpath,1,1.1.5,1.1.5,54.0,54.0,54.0,0.0,35.0,19.0,0.0,54.0,0.0,0.0,6.0,0.0,,526.0,23552.0,0.0,0.0
judoscale-rails,1,1.13.3,1.13.3,8.0,8.0,8.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,,62.0,5632.0,0.0,0.0
judoscale-ruby,1,1.13.3,1.13.3,113.0,113.0,113.0,0.0,92.0,21.0,0.0,113.0,0.0,0.0,16.0,0.0,,688.0,12288.0,0.0,0.0
judoscale-sidekiq,1,1.13.3,1.13.3,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,,54.0,5120.0,0.0,0.0
junit_merge,1,0.1.2,0.1.2,12.0,12.0,13.0,0.0,6.0,6.0,0.0,12.0,0.0,0.0,3.0,0.0,,133.0,10752.0,0.0,0.0
jwe,1,1.1.1,1.1.1,104.0,104.0,110.0,0.0,104.0,0.0,0.0,104.0,0.0,0.0,25.0,0.0,,585.0,17408.0,0.0,0.0
jwt,1,3.2.0,3.2.0,314.0,314.0,327.0,0.0,248.0,66.0,0.0,314.0,0.0,0.0,47.0,0.0,,1771.0,54784.0,0.0,0.0
kamal,1,2.12.0,2.12.0,1158.0,1158.0,1158.0,0.0,752.0,406.0,0.0,1158.0,0.0,0.0,109.0,0.0,,6917.0,83968.0,0.0,0.0
kaminari,1,1.2.2,1.2.2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,,49.0,23552.0,0.0,0.0
kaminari-actionview,1,1.2.2,1.2.2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,,26.0,6656.0,0.0,0.0
kaminari-activerecord,1,1.2.2,1.2.2,10.0,10.0,10.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,5.0,0.0,,133.0,8192.0,0.0,0.0
kaminari-core,1,1.2.2,1.2.2,131.0,131.0,138.0,0.0,123.0,8.0,0.0,131.0,0.0,0.0,15.0,0.0,,638.0,17408.0,0.0,0.0
