package,version,status,asset_kind,tfm,assembly,assembly_bytes,bytes_fetched,nupkg_bytes,public_types,methods_public,properties,events,ctors,operators,api_total,methods_private,methods_protected,methods_internal,m_static,m_virtual,m_abstract,m_sealed,m_generic,t_interface,t_abstract,t_sealed,fields_public,all_types,methoddef_rows,typedef_rows
Microsoft.EntityFrameworkCore.Tools,10.0.11,ok,tools,,tools/net8.0/any/ef.dll,113976,114659,282618,10,24,183,0,6,0,207,77,54,35,1,30,12,0,0,3,4,1,276,93,572,93
Microsoft.NET.Sdk.tvOS.Manifest-6.0.400,16.4.60,metapackage,,,,,27366,27366,,,,,,,,,,,,,,,,,,,,,,
SQLitePCLRaw.bundle_e_sqlite3,3.0.5,metapackage,,,,,16152,16152,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Workload.Emscripten.Manifest-6.0.400,6.0.36,metapackage,,,,,35677,35677,,,,,,,,,,,,,,,,,,,,,,
Microsoft.EntityFrameworkCore.Sqlite,10.0.11,metapackage,,,,,29896,29896,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Sdk.Maui.Manifest-6.0.400,6.0.553,metapackage,,,,,26272,26272,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Workload.Mono.ToolChain.Manifest-6.0.400,6.0.36,metapackage,,,,,48756,48756,,,,,,,,,,,,,,,,,,,,,,
Grpc.Tools,2.83.0,ok,build,,build/_protobuf/net45/Protobuf.MSBuild.dll,24576,77580,23904464,6,9,30,0,4,0,39,21,12,8,0,12,0,0,0,0,0,2,53,22,118,22
Microsoft.NET.Workload.Mono.ToolChain.Current.Manifest-9.0.100,9.0.19,metapackage,,,,,54171,54171,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Workload.Emscripten.Current.Manifest-9.0.100,9.0.19,metapackage,,,,,31914,31914,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NETCore.DotNetAppHost,10.0.11,metapackage,,,,,43696,43696,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Workload.Emscripten.net7.Manifest-9.0.100,9.0.19,metapackage,,,,,31500,31500,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Workload.Mono.ToolChain.net8.Manifest-9.0.100,9.0.19,metapackage,,,,,48847,48847,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Workload.Emscripten.net8.Manifest-9.0.100,9.0.19,metapackage,,,,,31545,31545,,,,,,,,,,,,,,,,,,,,,,
Microsoft.VisualStudio.Azure.Containers.Tools.Targets,1.23.0,ok,tools,,tools/Newtonsoft.Json.dll,712312,335535,992702,143,748,705,8,166,72,1461,1107,101,441,204,665,33,55,0,9,24,48,2167,497,4186,497
Microsoft.NET.Workload.Mono.ToolChain.net7.Manifest-9.0.100,9.0.19,metapackage,,,,,48866,48866,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Workload.Mono.ToolChain.net6.Manifest-9.0.100,9.0.19,metapackage,,,,,48686,48686,,,,,,,,,,,,,,,,,,,,,,
Microsoft.NET.Workload.Emscripten.net6.Manifest-9.0.100,9.0.19,metapackage,,,,,31454,31454,,,,,,,,,,,,,,,,,,,,,,
