package,version,status,asset_kind,tfm,assembly,assembly_bytes,bytes_fetched,nupkg_bytes,public_types,methods_public,properties,events,ctors,operators,api_total,methods_private,methods_protected,methods_internal,m_static,m_virtual,m_abstract,m_sealed,m_generic,t_interface,t_abstract,t_sealed,fields_public,all_types,methoddef_rows,typedef_rows
NetOffice.Excel,1.7.4.11,ok,lib,net45,lib/net45/ExcelApi.dll,4256768,770779,5517368,1193,12083,10883,247,5641,0,23213,2117.0,20.0,12.0,891.0,937.0,134.0,425.0,0.0,9.0,11.0,387.0,5250.0,1458.0,35150,1458
Selenium.WebDriver,4.48.0,ok,,netstandard2.0,lib/netstandard2.0/Selenium.WebDriver.dll,7092736,2138384,17152852,7432,5088,17340,738,6804,743,23166,,,,,,,,,,,,,,53954,8383
GirCore.Gtk-4.0,0.8.1,ok,lib,net10.0,lib/net10.0/Gtk-4.0.dll,2369024,753855,2099663,4112,17267,3014,472,3970,0,20753,1917.0,1754.0,978.0,6141.0,7695.0,281.0,4072.0,0.0,30.0,442.0,1577.0,5458.0,4394.0,29688,4394
Stripe.net,52.4.1,ok,,netstandard2.0,lib/netstandard2.0/Stripe.net.dll,4825088,1847891,12374334,5464,1769,18602,26,5532,19,20397,,,,,,,,,,,,,,45033,5589
MonoMac.NetStandard,0.0.4,ok,lib,netstandard2.0,lib/netstandard2.0/MonoMac.dll,5371904,1572866,4538196,2739,10847,8564,303,3694,186,19714,2513.0,672.0,2956.0,6870.0,11523.0,134.0,233.0,0.0,5.0,132.0,1634.0,33986.0,3205.0,33410,3205
AWSSDK.EC2,4.0.116,ok,,netstandard2.0,lib/netstandard2.0/AWSSDK.EC2.dll,4927656,1377041,9078096,5566,6454,13152,0,5481,477,19606,,,,,,,,,,,,,,53619,6081
NHibernate,5.7.0,ok,,netstandard2.1,lib/netstandard2.1/NHibernate.dll,4596736,1628484,15729989,2374,12551,6139,41,2066,22,18731,,,,,,,,,,,,,,31309,4522
Azure.ResourceManager.Network,1.17.0,ok,lib,netstandard2.0,lib/netstandard2.0/Azure.ResourceManager.Network.dll,10915136,2526382,10113295,1286,9297,9387,0,1145,1138,18684,16443.0,6884.0,7400.0,3858.0,7907.0,0.0,297.0,0.0,0.0,6.0,303.0,34600.0,5970.0,51428,5970
Xamarin.Google.Crypto.Tink.Android,1.23.0,ok,,net10.0-android36.0,lib/net10.0-android36.0/Xamarin.Google.Crypto.Tink.Android.dll,6447416,1017227,12545195,1289,7626,10746,0,293,0,18372,,,,,,,,,,,,,,29113,1658
Microsoft.CodeAnalysis.CSharp,5.9.0,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.CodeAnalysis.CSharp.dll,7554344,2846668,12210215,345,4360,13072,0,22,2,17432,,,,,,,,,,,,,,44427,2840
Microsoft.VisualStudio.Interop,17.14.40260,ok,lib,netstandard2.0,lib/netstandard2.0/Microsoft.VisualStudio.Interop.dll,2111528,701641,2666909,3589,8762,5088,156,176,0,14006,218.0,61.0,32.0,0.0,16083.0,15427.0,68.0,0.0,2157.0,2190.0,1334.0,8671.0,3636.0,16776,3636
Microsoft.CodeAnalysis.VisualBasic,5.9.0,ok,,netstandard2.0,lib/netstandard2.0/Microsoft.CodeAnalysis.VisualBasic.dll,5157672,1933508,8501756,357,4203,9682,0,40,4,13885,,,,,,,,,,,,,,32343,2095
KubernetesClient,19.0.2,ok,,net10.0,lib/net10.0/KubernetesClient.dll,10680320,2544181,24045655,1075,7715,5231,11,1657,1453,12957,,,,,,,,,,,,,,43564,5267
EO.WebBrowser,26.2.42,ok,,,lib/EO.Base.dll,7164320,4079504,149283086,2071,8813,3692,10,2789,9,12515,,,,,,,,,,,,,,26413,3323
linq2db,6.4.0,ok,,netstandard2.0,lib/netstandard2.0/linq2db.dll,6401536,2635428,14077297,1425,7935,4321,8,1091,144,12264,,,,,,,,,,,,,,28431,4995
BouncyCastle.Cryptography,2.7.0,ok,,netstandard2.0,lib/netstandard2.0/BouncyCastle.Cryptography.dll,4885904,2627175,8730569,1905,8518,3320,0,2716,0,11838,,,,,,,,,,,,,,23814,2828
MassTransit,9.2.1,ok,,netstandard2.0,lib/netstandard2.0/MassTransit.dll,4373504,1898978,10302057,2381,7186,3813,20,1644,18,11019,,,,,,,,,,,,,,23399,5267
Accord.Math,3.8.0,ok,,netstandard2.0,lib/netstandard2.0/Accord.Math.dll,2194432,591952,11405142,290,9885,902,5,347,51,10792,,,,,,,,,,,,,,12532,467
