package,downloads,registry_name,in_stars,in_forks,in_downloads_90pct,sources
moq,1210973840.0,Moq,True,True,True,stars+forks+downloads
microsoft.aspnetcore.routing.abstractions,1210061756.0,Microsoft.AspNetCore.Routing.Abstractions,False,True,True,forks+downloads
microsoft.aspnetcore.routing,1193119746.0,Microsoft.AspNetCore.Routing,False,True,True,forks+downloads
swashbuckle.aspnetcore,1193004641.0,Swashbuckle.AspNetCore,True,True,True,stars+forks+downloads
serilog.sinks.file,1192631166.0,Serilog.Sinks.File,True,True,True,stars+forks+downloads
microsoft.data.sqlclient.sni.runtime,1186047014.0,Microsoft.Data.SqlClient.SNI.runtime,False,False,True,downloads
serilog.sinks.console,1175557867.0,Serilog.Sinks.Console,True,True,True,stars+forks+downloads
stackexchange.redis,1173904021.0,StackExchange.Redis,True,True,True,stars+forks+downloads
microsoft.extensions.apidescription.server,1160153781.0,Microsoft.Extensions.ApiDescription.Server,True,True,True,stars+forks+downloads
microsoft.aspnetcore.authentication.abstractions,1152675316.0,Microsoft.AspNetCore.Authentication.Abstractions,False,False,True,downloads
xunit.extensibility.execution,1147208099.0,xunit.extensibility.execution,True,True,True,stars+forks+downloads
grpc.core.api,1141748390.0,Grpc.Core.Api,True,True,True,stars+forks+downloads
microsoft.extensions.diagnostics.healthchecks.abstractions,1137349617.0,Microsoft.Extensions.Diagnostics.HealthChecks.Abstractions,False,False,True,downloads
microsoft.extensions.diagnostics,1134548379.0,Microsoft.Extensions.Diagnostics,False,False,True,downloads
microsoft.extensions.diagnostics.healthchecks,1133993538.0,Microsoft.Extensions.Diagnostics.HealthChecks,False,True,True,forks+downloads
automapper,1133570592.0,AutoMapper,True,True,True,stars+forks+downloads
microsoft.aspnetcore.dataprotection.abstractions,1116853934.0,Microsoft.AspNetCore.DataProtection.Abstractions,True,True,True,stars+forks+downloads
microsoft.aspnetcore.mvc.abstractions,1102411331.0,Microsoft.AspNetCore.Mvc.Abstractions,False,False,True,downloads
