package,version,status,xml_doc,xml_bytes,readme,n_dll,n_xml,nupkg_bytes,bytes_read
xunit.extensibility.core,2.9.3,ok,lib/net452/xunit.core.xml,71389,_content/README.md,4,2,298787,65558
Swashbuckle.AspNetCore.SwaggerUI,10.2.3,ok,lib/net10.0/Swashbuckle.AspNetCore.SwaggerUI.xml,41298,,3,3,2184824,65558
Microsoft.AspNetCore.Routing,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.Routing.xml,103701,,1,1,87072,65558
Serilog.Sinks.File,7.0.0,ok,lib/net462/Serilog.Sinks.File.xml,44098,README.md,6,6,166445,65558
Moq,4.20.72,ok,,0,readme.md,4,0,646905,65558
Microsoft.AspNetCore.Routing.Abstractions,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.Routing.Abstractions.xml,31010,,1,1,52009,52009
Serilog.Sinks.Console,6.1.1,ok,lib/net462/Serilog.Sinks.Console.xml,21585,README.md,5,5,139415,65558
Microsoft.Data.SqlClient.SNI.runtime,6.0.3,ok,,0,,0,0,705316,65558
Microsoft.Extensions.Diagnostics.HealthChecks,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Diagnostics.HealthChecks.xml,36098,,3,3,134655,65558
Microsoft.AspNetCore.Authentication.Abstractions,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.Authentication.Abstractions.xml,55239,,1,1,48602,48602
Microsoft.Extensions.Diagnostics,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Diagnostics.xml,6961,,5,5,157592,65558
Grpc.Core.Api,2.83.0,ok,lib/net462/Grpc.Core.Api.xml,155359,README.md,3,3,220500,65558
Microsoft.Extensions.ApiDescription.Server,10.0.11,ok,,0,,0,0,5242841,65558
Microsoft.NET.Sdk.Aspire.Manifest-8.0.100,8.2.2,ok,,0,,0,0,34941,34941
runtime.native.System.Data.SqlClient.sni,4.7.0,ok,,0,,0,0,26713,26713
xunit.core,2.9.3,ok,,0,_content/README.md,0,0,33553,33553
Serilog.Extensions.Logging,10.0.0,ok,lib/net10.0/Serilog.Extensions.Logging.xml,10930,README.md,6,6,121453,65558
Microsoft.AspNetCore.Mvc.Abstractions,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.Mvc.Abstractions.xml,305481,,1,1,104305,65558
xunit,2.9.3,ok,,0,_content/README.md,0,0,31659,31659
xunit.extensibility.execution,2.9.3,ok,lib/net452/xunit.execution.desktop.xml,248819,_content/README.md,2,2,379849,65558
Microsoft.AspNetCore.DataProtection.Abstractions,10.0.11,ok,lib/net10.0/Microsoft.AspNetCore.DataProtection.Abstractions.xml,27652,,3,3,104267,65558
Microsoft.CodeAnalysis.Common,5.9.0,ok,lib/net10.0/Microsoft.CodeAnalysis.xml,2761402,,28,2,4530869,65558
AutoMapper,16.2.0,ok,lib/net10.0/AutoMapper.xml,118670,README.md,5,5,744613,65558
xunit.abstractions,2.0.3,ok,lib/net35/xunit.abstractions.xml,53197,,3,3,75155,65558
Microsoft.AspNetCore.DataProtection,10.0.11,ok,lib/net10.0/Microsoft.AspNetCore.DataProtection.xml,176098,,3,3,357776,65558
xunit.analyzers,2.0.0,ok,,0,_content/README.md,0,0,333279,65558
